requirement_id,parent_capability_ids,user_need,decision_status,decision_classification,decision_source,primary_page_or_shared_owner,secondary_affected_pages,current_behavior,gap_type,proposed_disposition,current_source,user_reachability,automated_proof,deployed_match,device_loaded,real_field_validation,visual_evidence_level,dna_alignment,user_acceptance,user_acceptance_source,dependencies,dependency_classification,candidate_slice,acceptance_criteria,evidence_ids,known_open_issues,test_scope_limitations,open_question
RQ-MEM-001,MEM-01,Personal Memory reveals only accepted personal evidence and never invents movement.,CONFIRMED_REQUIREMENT,EXPLICIT_USER_DECISION,Full task §4,Personal Memory,Activity|Foreground exploration,Personal points and evidence-bounded fog exist. Persisted source provenance is incomplete; current Web capture remained in loading UI after one runtime error.,DATA_PROVENANCE_AND_RUNTIME_EVIDENCE_GAP,LATER_SLICE,YES,YES,YES,PARTIAL,UNKNOWN,UNKNOWN,REAL_WEB_MAPBOX,DIVERGENT,NOT_CONFIRMED,No explicit page-level acceptance evidence found.,,REUSE_EXISTING,Page sequence 6 — Personal Memory,Only accepted personal evidence clears personal fog.|Source identity persists.|Map failure/loading states recover truthfully.,VIS-024|VIS-031|VIS-038|TEST-001,Audit Web runtime raised one undefined-index error and showed Opening your map in all three themes.,"Fixture/source proof is not deployed, native-device, field, or user-acceptance proof.",
RQ-MEM-002,MEM-02,Passive foreground exploration is explicitly enabled and distinguishable from Activity and simulation evidence.,CONFIRMED_REQUIREMENT,IMPLEMENTATION_FACT,Current source and prior capability audit,Memory foreground exploration,Settings|Diagnostics,A setting and foreground recorder exist; simulator-derived passive points are not durably distinguishable after persistence.,PROVENANCE_GAP,LATER_SLICE,YES,PARTIAL,PARTIAL,PARTIAL,UNKNOWN,UNKNOWN,SOURCE_ONLY,PARTIAL,NOT_CONFIRMED,No explicit page-level acceptance evidence found.,,REUSE_EXISTING,Page sequence 6 — Personal Memory,User control is explicit.|Simulated and real provenance remain distinguishable.|Battery/permission behavior is device-tested.,DEP-007,,"Fixture/source proof is not deployed, native-device, field, or user-acceptance proof.",
RQ-MEM-003,MEM-03,Personal Memory reset is explicit and truthful without implying Activity/Cairn deletion.,CONFIRMED_REQUIREMENT,IMPLEMENTATION_FACT,Current Settings source and full task §4,Settings Privacy & Data,Memory,A destructive flow exists; it was not invoked. Remote purge requires server and local clear follows.,DEVICE_AND_DEPLOYED_E2E_GAP,LATER_SLICE,YES,YES,YES,PARTIAL,UNKNOWN,UNKNOWN,SOURCE_ONLY,MATCH,NOT_CONFIRMED,No explicit page-level acceptance evidence found.,,REUSE_EXISTING,Page sequence 6/Settings contract verification,Copy scopes reset to Memory only.|Server/local outcome and failure recovery are tested in isolation.|Ordinary production accounts are not used for audit testing.,TEST-001|SRC-021,,"Fixture/source proof is not deployed, native-device, field, or user-acceptance proof.",
RQ-MEM-004,MEM-04,"Viewer friend selection, single-friend focus, source separation, and overlap provenance are understandable.",CANDIDATE_AWAITING_DECISION,CANDIDATE_DESIGN,Full task §4 future requirements,Memory friend layer,Friends,"Mine/Friends scope, picker, subscriptions, and friend fog union exist. Circle Cairn markers are not consumed. Friend cache is RAM-only and authorization is unsafe.",SECURITY_AND_PRODUCT_DECISION_GAP,LATER_SLICE,YES,YES,PARTIAL,YES,UNKNOWN,UNKNOWN,SOURCE_ONLY,DIVERGENT,NOT_CONFIRMED,No explicit page-level acceptance evidence found.,RQ-MEM-005|RQ-SEC-001,NARROW_PREREQUISITE,Page sequence 7 after P0 containment,Mine and friend sources are visually distinct.|Single-friend/union behavior is approved.|Overlap retains provenance.|Authorization is enforced at query time.,DEP-008|SRC-018,Known production authorization P0 retained from prior audit.,"Fixture/source proof is not deployed, native-device, field, or user-acceptance proof.",
RQ-MEM-005,MEM-05|MEM-06|MEM-07,"Owner grant and viewer selection are separate, and revoke/unfriend/block/delete immediately remove access.",CONFIRMED_REQUIREMENT,AUDIT_RECOMMENDATION,Prior fact audit MEM-05..07; full task §4,Friends/Memory authorization,Memory|Backend,Viewer subscription exists without owner grant. Production trigger was absent and /circle/fog lacked the needed authorization check at prior verification; unfriend/block did not revoke and RAM cache had no remote invalidation.,KNOWN_PRODUCTION_SECURITY_P0,LATER_SLICE,PARTIAL,PARTIAL,PARTIAL,NO,UNKNOWN,NO,SOURCE_ONLY,UNVERIFIED,NOT_CONFIRMED,No explicit page-level acceptance evidence found.,Corrective migration|Request and query authorization|Cache invalidation,NARROW_PREREQUISITE,Separately approved narrow security containment before any sharing pilot,Server requires current friendship plus owner grant.|Cap is server enforced.|Unfriend/block/delete revoke transactionally.|Open/cache reads cannot retain revoked access.,DEP-008,Do not retest against real users. Prior finding timestamp retained.,"Fixture/source proof is not deployed, native-device, field, or user-acceptance proof.",
RQ-MEM-006,MEM-04|ENC-01,"Friend-visible regions never count as personal exploration, and a Cairn inside friend fog is not automatically an encounter.",CANDIDATE_AWAITING_DECISION,CANDIDATE_DESIGN,Full task §4 future requirements,Memory/Encounter boundary,Friends|Public Cairns,"Friend fog is a separate display union, but no Encounter domain exists and normal non-owner Cairn entry is disconnected.",UNIMPLEMENTED_DOMAIN_BOUNDARY,LATER_SLICE,PARTIAL,PARTIAL,PARTIAL,PARTIAL,UNKNOWN,UNKNOWN,SOURCE_ONLY,PARTIAL,NOT_CONFIRMED,No explicit page-level acceptance evidence found.,RQ-ENC-001,LATER_DOMAIN_WORK,Later Friends/Encounter scope,Personal completion metrics exclude friend fog.|Encounter requires separately approved eligibility/presentation evidence.,DEP-009,,"Fixture/source proof is not deployed, native-device, field, or user-acceptance proof.",
RQ-MEM-007,MEM-01|CAIRN-02|CAIRN-04,"Personal Memory can reopen an own Cairn, while friend/public Detail reachability is represented truthfully.",CONFIRMED_REQUIREMENT,AUDIT_RECOMMENDATION,Full task §9,Memory → Cairn Detail,,MemoryMap receives own markers and can open the own sheet/detail family. circleMarkers are not supplied; public pins are blurred/unpressable.,PARTIAL_INTEGRATION,LATER_SLICE,YES,PARTIAL,PARTIAL,UNKNOWN,UNKNOWN,UNKNOWN,REAL_WEB_MAPBOX,DIVERGENT,NOT_CONFIRMED,No explicit page-level acceptance evidence found.,,REUSE_EXISTING,Page sequence 3 then 6,Own Cairn opens one canonical Detail.|Non-owner state is not implied until normally reachable.,SRC-018|SRC-019|SRC-020,,"Fixture/source proof is not deployed, native-device, field, or user-acceptance proof.",
RQ-MEM-008,MEM-01|ENC-01,"Place/time revisiting, repeated visits, small groups, notifications, offline encounters, and NZ extensions receive explicit later dispositions.",CANDIDATE_AWAITING_DECISION,CANDIDATE_DESIGN,Full task §4 future requirements,Memory future domain,,These are not one current accepted implementation contract.,UNIMPLEMENTED_CANDIDATE_REQUIREMENTS,LATER_SLICE,NO,NO,NO,NO,NO,NO,NO_EVIDENCE,UNVERIFIED,NOT_CONFIRMED,No explicit page-level acceptance evidence found.,,PRODUCT_DECISION_REQUIRED,"Later Memory/Encounter/NZ discovery, not M0","Each concept receives a separate approved job, privacy boundary, and evidence plan before build.",SRC-006,,"Fixture/source proof is not deployed, native-device, field, or user-acceptance proof.",
RQ-FRI-001,FRI-01,Friend request/list/profile/block remains the accepted bounded social entry without leaking Memory authority.,CONFIRMED_REQUIREMENT,IMPLEMENTATION_FACT,Prior capability audit FRI-01 and full task §3,Friends,Memory,"Core friend UI/API exists; device privacy regression proof is unknown. Friends is an accepted DNA reference, not acceptance of Memory authorization.",DEVICE_AND_PRIVACY_EVIDENCE_GAP,KEEP_NO_CHANGE,YES,YES,PARTIAL,PARTIAL,UNKNOWN,UNKNOWN,EXISTING_COMPONENT_WITH_FIXTURE,MATCH,PARTIAL,Visual reference accepted; whole privacy contract not accepted.,,REUSE_EXISTING,Preserve until later authorization slice,Core friend flow does not regress.|Friend status alone never grants Memory access without approved owner authority.,DEP-010|SRC-003,,"Fixture/source proof is not deployed, native-device, field, or user-acceptance proof.",
RQ-SOC-001,AUTH-01|FRI-01|CAIRN-04,"Self, Friends, and Public are equally legitimate, low-interruption asynchronous value paths—not a feed, marketplace, or leaderboard.",CONFIRMED_REQUIREMENT,EXPLICIT_USER_DECISION,Full task §4 explicit core boundaries,Shared product model,Home|Friends|Memory|Cairns,Personal flows dominate current reachability; friend/public implementations are incomplete and no feed/leaderboard was found.,FUTURE_BALANCE_NOT_IMPLEMENTATION_AUTHORIZATION,KEEP_NO_CHANGE,PARTIAL,PARTIAL,PARTIAL,UNKNOWN,UNKNOWN,UNKNOWN,SOURCE_ONLY,PARTIAL,NOT_CONFIRMED,No explicit page-level acceptance evidence found.,,REUSE_EXISTING,Guardrail across later scopes,No future page turns Public into searchable engagement feed by default.|Each path retains its own privacy and retrieval model.,SRC-006,,"Fixture/source proof is not deployed, native-device, field, or user-acceptance proof.",
RQ-MOD-001,MOD-01,"Reports have an owned moderation queue, disposition, SLA, and appeal path before public operations expand.",CANDIDATE_AWAITING_DECISION,CANDIDATE_DESIGN,Full task §4 future requirements,Moderation future domain,,Report counters/auto-hide threshold exist; no moderation operations surface or owner was found.,UNIMPLEMENTED_CANDIDATE_REQUIREMENT,LATER_SLICE,NO,NO,NO,NO,NO,NO,NO_EVIDENCE,PARTIAL,NOT_CONFIRMED,No explicit page-level acceptance evidence found.,,PRODUCT_DECISION_REQUIRED,Later Public/Moderation scope,Named operational owner and tooling exist.|Disposition and appeal are auditable.|Auto-hide is not called moderation completion.,DEP-011,,"Fixture/source proof is not deployed, native-device, field, or user-acceptance proof.",
RQ-ENC-001,ENC-01,"Eligibility, presence, presentation, opening, saving, Thanks, and author notification are distinct privacy events.",CANDIDATE_AWAITING_DECISION,CANDIDATE_DESIGN,Full task §4 future requirements,Encounter future domain,Memory|Public Cairn Detail,No Encounter schema/API exists. Fog proximity and pins are not proof of presentation/opening.,UNIMPLEMENTED_CANDIDATE_REQUIREMENT,LATER_SLICE,NO,NO,NO,NO,NO,NO,NO_EVIDENCE,PARTIAL,NOT_CONFIRMED,No explicit page-level acceptance evidence found.,,PRODUCT_DECISION_REQUIRED,Later Encounter/Public scope,Events and retention are defined.|Implicit visitor location/time is not disclosed by default.|Offline reconciliation is explicit.,DEP-012,,"Fixture/source proof is not deployed, native-device, field, or user-acceptance proof.",
RQ-SET-001,SET-01|SET-02|SET-03,"Settings provides a coherent root for Account, Preferences, Privacy & Data, and Help & About.",CONFIRMED_REQUIREMENT,IMPLEMENTATION_FACT,Current Settings source and full task §8,Settings,,Four-group root and secondary pages exist and use shared visual components. Expo Web fixture shows strong theme alignment; dangerous actions were not invoked.,DEPLOYED_CONTRACT_AND_USER_ACCEPTANCE_GAP,KEEP_NO_CHANGE,YES,YES,YES,PARTIAL,UNKNOWN,UNKNOWN,EXISTING_COMPONENT_WITH_FIXTURE,MATCH,NOT_CONFIRMED,No explicit page-level acceptance evidence found.,,REUSE_EXISTING,Preserve UI; repair deployment contracts separately,Four-group structure remains clear.|Dangerous actions require confirmation and truthful server outcomes.|No visual shared change regresses Home/Friends/Auth.,VIS-025|VIS-032|VIS-039|VIS-041|TEST-001,,"Fixture/source proof is not deployed, native-device, field, or user-acceptance proof.",
RQ-SET-002,MAP-01,"Appearance Auto/Day/Sunset/Night, units, and haptics have real consumers across pages and overlays.",CONFIRMED_REQUIREMENT,IMPLEMENTATION_FACT,Current Settings/useScenicTimeState source; full task §9,Settings/shared theme,All scoped pages,"Appearance drives shared themes; units/haptics have consumers. Web map adapter substitutes outdoors-v12 for native Standard v3, so renderer parity is not implied.",CROSS_RENDERER_ACCEPTANCE_GAP,KEEP_NO_CHANGE,YES,YES,PARTIAL,PARTIAL,UNKNOWN,UNKNOWN,EXISTING_COMPONENT_WITH_FIXTURE,PARTIAL,NOT_CONFIRMED,No explicit page-level acceptance evidence found.,,REUSE_EXISTING,CARD-01 reviews priority pages; later page reviews retain regression checks,Day/Sunset/Night remain distinguishable.|Selected/unselected controls remain legible.|Unit/haptic changes affect documented consumers.,VIS-001|VIS-013|VIS-025|SRC-024,,"Fixture/source proof is not deployed, native-device, field, or user-acceptance proof.",
RQ-SET-003,SET-01,Feedback submission truthfully acknowledges or retries against the deployed service.,CONFIRMED_REQUIREMENT,IMPLEMENTATION_FACT,Prior capability SET-01; full task §5,Settings Help & About,,Client UI/service and local migration 035 exist; production endpoint/table were absent in prior verification. Audit did not submit feedback.,KNOWN_PRODUCTION_RELEASE_CONTRACT_P0,LATER_SLICE,YES,YES,YES,NO,UNKNOWN,NO,SOURCE_ONLY,PARTIAL,NOT_CONFIRMED,No explicit page-level acceptance evidence found.,Backend migration 035 and route deployment,NARROW_PREREQUISITE,Separately approved release-contract containment,Approved migration/backend deploy exists.|Device success/failure is verified in isolation.|Displayed acknowledgement matches server durability.,DEP-013,,"Fixture/source proof is not deployed, native-device, field, or user-acceptance proof.",
RQ-SET-004,SET-02,Export request/status/download includes the approved data contract and truthful expiry/failure behavior.,UNRESOLVED,IMPLEMENTATION_FACT,Prior capability SET-02; full task §5,Settings Privacy & Data,,Client and backend versions differ; current export list omits geometry. Audit performed only intercepted GET and triggered no export job.,DEPLOYMENT_AND_PRODUCT_CONTRACT_GAP,NEEDS_PRODUCT_DECISION,YES,YES,PARTIAL,PARTIAL,UNKNOWN,NO,SOURCE_ONLY,PARTIAL,NOT_CONFIRMED,No explicit page-level acceptance evidence found.,Export content/privacy decision,PRODUCT_DECISION_REQUIRED,Later Settings/release contract slice,Export contents are approved.|Deployed API matches client.|Privacy/expiry/download are device-tested in isolation.,DEP-014,,"Fixture/source proof is not deployed, native-device, field, or user-acceptance proof.",
RQ-SET-005,SET-03,Account deletion/restoration copy matches deployed timing and actual restore/sweep behavior.,CONFIRMED_REQUIREMENT,IMPLEMENTATION_FACT,Prior capability SET-03; full task §5,Settings Account/Auth,,O56 says seven-day restore; production previously used five minutes. Audit did not trigger deletion.,KNOWN_PRODUCTION_RELEASE_CONTRACT_P0,LATER_SLICE,YES,YES,YES,NO,UNKNOWN,NO,SOURCE_ONLY,PARTIAL,NOT_CONFIRMED,No explicit page-level acceptance evidence found.,Approved deletion contract|Backend deployment,NARROW_PREREQUISITE,Separately approved release-contract containment,"Approved timing is explicit.|Client, backend, cron, and policy match.|Restore/sweep are tested in isolation.",DEP-015,,"Fixture/source proof is not deployed, native-device, field, or user-acceptance proof.",
RQ-PAY-001,PAY-01,"Paid benefits, purchase, restore, testing, and promotion are approved and operational before commercial release.",CANDIDATE_AWAITING_DECISION,CANDIDATE_DESIGN,Full task §4 future requirements,Payments future domain,,SDK exists but O56 lacks the key and App Store/RevenueCat configuration is unknown. No purchase was attempted.,EXTERNAL_CONFIGURATION_AND_PRODUCT_DECISION_GAP,LATER_SLICE,YES,PARTIAL,PARTIAL,NO,UNKNOWN,NO,SOURCE_ONLY,PARTIAL,NOT_CONFIRMED,No explicit page-level acceptance evidence found.,,LATER_DOMAIN_WORK,Later commercial scope,Benefit/pricing is approved.|Store/offering/key are verified.|Purchase/restore is sandbox-tested.,DEP-016,,"Fixture/source proof is not deployed, native-device, field, or user-acceptance proof.",
RQ-PAY-002,PAY-02,Paid entitlement enforcement is server-authoritative and recoverable.,CANDIDATE_AWAITING_DECISION,CANDIDATE_DESIGN,Prior capability PAY-02,Payments backend future domain,,No webhook/event/entitlement schema exists; purchase cannot change server Memory limits.,UNIMPLEMENTED_CANDIDATE_REQUIREMENT,LATER_SLICE,NO,NO,NO,NO,NO,NO,NO_EVIDENCE,PARTIAL,NOT_CONFIRMED,No explicit page-level acceptance evidence found.,,LATER_DOMAIN_WORK,Later commercial scope,Signed idempotent lifecycle ingestion exists.|Server enforcement and recovery are tested.,DEP-017,,"Fixture/source proof is not deployed, native-device, field, or user-acceptance proof.",
RQ-MAP-001,MAP-01|ACT-01|ACT-02,"Hike/Run map, route, puck, legal controls, metrics, and bottom dock are distinguishable in Day/Sunset/Night on the actual iPhone renderer.",CONFIRMED_REQUIREMENT,EXPLICIT_USER_DECISION,"Full task §10, §11, and §15",Hike/Run native map presentation,Activity Detail|Memory,"Expo Web Hike/Run shows Map unavailable and validates surrounding chrome only. Historical phone images show native Mapbox, but not current O56/NZ. Native attribution collision is unverified.",NATIVE_VISUAL_EVIDENCE_GAP,CURRENT_SLICE,YES,YES,PARTIAL,PARTIAL,UNKNOWN,UNKNOWN,HISTORICAL_SCREENSHOT,PARTIAL,NOT_CONFIRMED,No explicit page-level acceptance evidence found.,,REUSE_EXISTING,CARD-01 — first iPhone Hike/Run evidence review,Actual native map/route/puck remain readable in all appearances.|Mapbox logo/info do not collide with core actions.|Small/large device risks are recorded.,VIS-001|HIST-001,,"Fixture/source proof is not deployed, native-device, field, or user-acceptance proof.",
RQ-MAP-002,MAP-01,"NZ warmup/offline map support states its real coverage, size, controls, and degradation.",UNRESOLVED,CANDIDATE_DESIGN,Prior capability MAP-01; full task §4 future requirements,Maps/NZ future domain,,Automatic rough bbox zoom 5–10 warmup exists without user control/status; account/device pack evidence is unknown.,DEVICE_AND_PRODUCT_DECISION_GAP,LATER_SLICE,YES,YES,PARTIAL,PARTIAL,UNKNOWN,PARTIAL,SOURCE_ONLY,PARTIAL,NOT_CONFIRMED,No explicit page-level acceptance evidence found.,,PRODUCT_DECISION_REQUIRED,Later NZ/offline scope,Coverage/size/status are measurable.|Offline copy matches actual tiles and legal constraints.|NZ device validation exists.,DEP-018,,"Fixture/source proof is not deployed, native-device, field, or user-acceptance proof.",
RQ-DIAG-001,DIAG-01,Debug/Clean/Raw evidence is reachable only in intended builds and cannot be confused with real field proof.,CONFIRMED_REQUIREMENT,AUDIT_RECOMMENDATION,"Full task §5, §13, and §15",Diagnostics/build gating,Hike|Run,"Debug route is build/debug gated; normal Settings has no entry. O55 tool access on the owner installed app is unknown. Audit observed automatic /api/edit-diag POST attempts even with debug disabled, all intercepted.",BUILD_GATE_AND_SIDE_EFFECT_EVIDENCE_GAP,LATER_SLICE,PARTIAL,PARTIAL,PARTIAL,PARTIAL,UNKNOWN,UNKNOWN,SOURCE_ONLY,PARTIAL,NOT_CONFIRMED,No explicit page-level acceptance evidence found.,Installed build identity,NARROW_PREREQUISITE,Device review only if entry is genuinely present; otherwise BLOCKED_BY_BUILD_GATE,Exact build gate is recorded.|Clean and Raw modes use actual UI names.|Telemetry consent/retention is explicit.|Simulation claims remain bounded.,RUNTIME-001|DEP-019,161 edit-diag POST attempts were safely blocked during this capture run.,"Fixture/source proof is not deployed, native-device, field, or user-acceptance proof.",
RQ-REL-002,REL-02,"External beta availability is proven by App Store Connect group/review/install evidence, not an EAS build alone.",CONFIRMED_REQUIREMENT,AUDIT_RECOMMENDATION,Prior capability REL-02; full task §5,App Store Connect owner,,Dashboard evidence is unavailable; no claim of TestFlight availability or device install is made.,EXTERNAL_DASHBOARD_EVIDENCE_GAP,LATER_SLICE,UNKNOWN,UNKNOWN,NO,UNKNOWN,UNKNOWN,NO,NO_EVIDENCE,PARTIAL,NOT_CONFIRMED,No explicit page-level acceptance evidence found.,,LATER_DOMAIN_WORK,Owner release verification,Redacted build/group/review and tester install evidence exists.,DEP-020,,"Fixture/source proof is not deployed, native-device, field, or user-acceptance proof.",
RQ-SEC-001,MEM-05|MEM-07,Known friend-fog authorization exposure is contained before sharing pilot or friend Memory review.,CONFIRMED_REQUIREMENT,AUDIT_RECOMMENDATION,"Prior fact audit SUMMARY/HANDOFF, retained without live retest",Backend authorization,Memory|Friends,Prior evidence found arbitrary-user subscription/cap bypass and /circle/fog authorization gaps in production. No real-user vulnerability test was performed in this audit.,KNOWN_PRODUCTION_SECURITY_P0,LATER_SLICE,PARTIAL,PARTIAL,PARTIAL,NO,UNKNOWN,NO,SOURCE_ONLY,PARTIAL,NOT_CONFIRMED,No explicit page-level acceptance evidence found.,Explicit approval for backend containment/deploy,NARROW_PREREQUISITE,"Separately approved narrow containment, not CARD-01",Corrective migration is present and applied.|Request and query checks enforce current authorized relationship.|Revoke/block/delete purge access and cache.|Isolated regression proof exists.,DEP-008,,"Fixture/source proof is not deployed, native-device, field, or user-acceptance proof.",
RQ-OFFLINE-001,CAIRN-01|ROUTE-02|ACT-03,"Local save, server sync, refinement, and usability remain independent states with truthful recovery.",CONFIRMED_REQUIREMENT,EXPLICIT_USER_DECISION,Full task §4 and §13,Shared offline/status contract,Activity Detail|Route Detail|Cairn Detail,"Stores distinguish several states, but page copy and real executors are uneven; route usability and final refinement can be conflated.",SHARED_STATUS_CONTRACT_GAP,LATER_SLICE,PARTIAL,PARTIAL,YES,PARTIAL,UNKNOWN,UNKNOWN,EXISTING_COMPONENT_WITH_FIXTURE,PARTIAL,NOT_CONFIRMED,No explicit page-level acceptance evidence found.,,SHARED_VISUAL_FIX,"Resolve page-by-page, starting Activity Detail",Each label maps to persistence and an executor.|Failure/retry states are reachable.|Usability is not inferred from local save alone.,TEST-001|VIS-019,,"Fixture/source proof is not deployed, native-device, field, or user-acceptance proof.",
RQ-FINAL-001,ACT-03|ROUTE-02,"Any Refining/later enhancement state has a real durable executor that survives relaunch/offline, or the UI states that no automatic work exists.",CONFIRMED_REQUIREMENT,AUDIT_RECOMMENDATION,Full task §5 and §13,Activity finalization worker,Activity Detail|Route Editor,One-off post-Finish work and state enums exist; no durable reconnect Final worker was proven.,STATE_WITHOUT_WORKER,LATER_SLICE,PARTIAL,PARTIAL,PARTIAL,PARTIAL,UNKNOWN,UNKNOWN,SOURCE_ONLY,PARTIAL,NOT_CONFIRMED,No explicit page-level acceptance evidence found.,,NARROW_PREREQUISITE,Activity Detail truth slice,Executor ownership/persistence is explicit.|Relaunch/offline recovery is tested.|Retry invokes real work.,DEP-002,,"Fixture/source proof is not deployed, native-device, field, or user-acceptance proof.",
